Model,Input,TF-TRT,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge,images/sec,99th_percentile(ms),total_time(s),latency_mean(ms),latency_median(ms),latency_min(ms)
CenterNet HourGlass104,512x512,Native FP32,0.384713512563684,0.564139420390799,0.411553651599941,0.198156895893798,0.425030985811419,0.527396156049735,0.324763829786489,0.526984082905496,0.555941778167757,0.332731259844162,0.605568706845888,0.741189309413038,14.7865245003652,69.6909427642822,334.824042797089,67.6412207670886,67.5082206726074,65.6013488769531
CenterNet\ HourGlass104,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ HourGlass104,512x512,TF-TRT FP16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ HourGlass104,512x512,TF-TRT INT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet HourGlass104 Keypoints,512x512,Native FP32,0.367325386499916,0.545976601735341,0.389129942945763,0.182259860863707,0.403370336621215,0.511392686961351,0.313151205484256,0.506028043595887,0.53341560672481,0.314051891425307,0.574240233238919,0.725554768725071,13.7454466050631,76.441764831543,360.217658758163,72.7712441935684,72.5595951080322,69.0081119537354
CenterNet\ HourGlass104\ Keypoints,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ HourGlass104\ Keypoints,512x512,TF-TRT FP16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ HourGlass104\ Keypoints,512x512,TF-TRT INT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet HourGlass104,1024x1024,Native FP32,0.397585165556481,0.564539019025679,0.435700558277548,0.247185859679479,0.439320388102269,0.513491095704323,0.336257134497262,0.558438818273258,0.596532226527905,0.40475271472836,0.63342012561713,0.755601940023387,5.73472777547372,178.246736526489,863.206539154053,174.385159425061,174.255847930908,171.795845031738
CenterNet\ HourGlass104,1024x1024,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ HourGlass104,1024x1024,TF-TRT FP16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ HourGlass104,1024x1024,TF-TRT INT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet HourGlass104 Keypoints,1024x1024,Native FP32,0.384817161938005,0.551289822065563,0.420409090802707,0.228968234601702,0.421967792530648,0.513049376024475,0.328917548944252,0.542247553227524,0.578135666064455,0.385020520923883,0.615138366784985,0.740736486276787,5.28436027407613,194.04125213623,936.807647943497,189.254070291616,189.214944839478,183.205604553223
CenterNet\ HourGlass104\ Keypoints,1024x1024,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ HourGlass104\ Keypoints,1024x1024,TF-TRT FP16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ HourGlass104\ Keypoints,1024x1024,TF-TRT INT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet Resnet50 V1 FPN,512x512,Native FP32,0.275935828000564,0.437450334043594,0.29119569698094,0.11664230701441,0.325133175109689,0.405717168263435,0.269788584992183,0.433389984021092,0.454548185374958,0.229452898930302,0.4926205478004,0.648344231809442,39.2150677927648,29.4976234436035,126.318163871765,25.518820984195,25.3760814666748,24.4286060333252
CenterNet\ Resnet50\ V1\ FPN,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ Resnet50\ V1\ FPN,512x512,TF-TRT FP16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ Resnet50\ V1\ FPN,512x512,TF-TRT INT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet Resnet50 V1 FPN Keypoints,512x512,Native FP32,0.257598536149116,0.420962090727187,0.27303121832114,0.109905186759492,0.296076889687122,0.383434839109183,0.255246592507027,0.411597509891648,0.430887861900756,0.217384877510097,0.467114694903146,0.612795350503197,34.0042865304115,32.8664779663086,145.698339223862,29.4340079240125,29.3846130371094,26.59010887146
CenterNet\ Resnet50\ V1\ FPN\ Keypoints,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ Resnet50\ V1\ FPN\ Keypoints,512x512,TF-TRT FP16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ Resnet50\ V1\ FPN\ Keypoints,512x512,TF-TRT INT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet Resnet101 V1 FPN,512x512,Native FP32,0.312776379046001,0.478802123401457,0.330058469711979,0.120932777129699,0.349241565093952,0.467138336160113,0.291221587593896,0.454127322481814,0.472568018555097,0.229270757896948,0.506060393604133,0.692274927203908,31.3603214232659,33.9398384094238,157.884804487228,31.89592009843,31.8357944488525,30.8032035827637
CenterNet\ Resnet101\ V1\ FPN,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ Resnet101\ V1\ FPN,512x512,TF-TRT FP16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ Resnet101\ V1\ FPN,512x512,TF-TRT INT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet Resnet50 V2,512x512,Native FP32,0.26232069032827,0.415681856355016,0.277563580415468,0.099463177994413,0.315378235192994,0.392301469541519,0.263255017849019,0.414381345403582,0.432726551898333,0.183358567573021,0.47587056334237,0.65319814225595,40.0248276646172,27.949333190918,123.731591463089,24.9962811036543,24.9052047729492,24.1036415100098
CenterNet\ Resnet50\ V2,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ Resnet50\ V2,512x512,TF-TRT FP16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ Resnet50\ V2,512x512,TF-TRT INT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet Resnet50 V2 Keypoints,512x512,Native FP32,0.244942299100902,0.400709834886268,0.255871467719996,0.089967514671342,0.289668449340625,0.381650443194552,0.250381593261614,0.395509196836968,0.412005498494241,0.176364513868132,0.451392665630684,0.630041362397368,34.8108586826554,33.149242401123,142.400249242783,28.7677271197541,28.6660194396973,26.0789394378662
CenterNet\ Resnet50\ V2\ Keypoints,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ Resnet50\ V2\ Keypoints,512x512,TF-TRT FP16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ Resnet50\ V2\ Keypoints,512x512,TF-TRT INT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ MobileNetV2\ FPN,512x512,Native FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ MobileNetV2\ FPN,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ MobileNetV2\ FPN,512x512,TF-TRT FP16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ MobileNetV2\ FPN,512x512,TF-TRT INT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ MobileNetV2\ FPN\ Keypoints,512x512,Native FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ MobileNetV2\ FPN\ Keypoints,512x512,TF-TRT FP32,,,,,,,,,,,,,,,,,,
CenterNet\ MobileNetV2\ FPN\ Keypoints,512x512,TF-TRT FP16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ MobileNetV2\ FPN\ Keypoints,512x512,TF-TRT INT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EfficientDet D0,512x512,Native FP32,0.32819476133771,0.516172019135635,0.344228990719902,0.143539947391615,0.368910241319118,0.502162757704051,0.286836171007608,0.44109416651962,0.468676686738163,0.231575436000586,0.531909776855719,0.679824083667422,7.45785327403041,158.564805984497,667.546449184418,134.857868522105,134.483098983765,104.235887527466
