Model,Input,TF-TRT,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge,images/sec,99th_percentile(ms),total_time(s),latency_mean(ms),latency_median(ms),latency_min(ms)
CenterNet HourGlass104,512x512,Native FP32,0.38471351256368413,0.5641394203907987,0.4115536515999415,0.19815689589379806,0.42503098581141946,0.5273961560497348,0.32476382978648927,0.5269840829054964,0.5559417781677566,0.33273125984416174,0.6055687068458883,0.7411893094130377,15.22671581030691,67.96598434448242,325.15420293807983,65.68771776526864,65.58680534362793,63.56239318847656
CenterNet\ HourGlass104,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ HourGlass104,512x512,TF-TRT INT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet HourGlass104 Keypoints,512x512,Native FP32,0.3673253864999156,0.5459766017353406,0.389129942945763,0.18225986086370696,0.403370336621215,0.511392686961351,0.31315120548425573,0.5060280435958866,0.5334156067248098,0.31405189142530676,0.5742402332389193,0.7255547687250709,13.953367351649524,74.98288154602051,354.8425748348236,71.68536865349971,71.51567935943604,68.24994087219238
CenterNet\ HourGlass104\ Keypoints,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ HourGlass104\ Keypoints,512x512,TF-TRT INT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet HourGlass104,1024x1024,Native FP32,0.3975838481715816,0.5645377218833592,0.43569892704952323,0.24718585169904425,0.4393204132222335,0.5134888441500667,0.33625713449726247,0.5584388182732585,0.5965322265279047,0.40475271472836044,0.6334201256171298,0.7556019400233871,5.6685002184865265,180.00316619873047,873.2940714359283,176.42304473453098,176.3695478439331,172.90592193603516
CenterNet\ HourGlass104,1024x1024,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ HourGlass104,1024x1024,TF-TRT INT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet HourGlass104 Keypoints,1024x1024,Native FP32,0.3848171619380046,0.551289822065563,0.4204090908027065,0.22896823460170235,0.4219677925306481,0.5130493760244748,0.32891754894425246,0.5422475532275244,0.5781356660644554,0.3850205209238833,0.6151383667849849,0.7407364862767875,5.227320618678753,196.0592269897461,947.0287346839905,191.31893629979604,191.28334522247314,185.12701988220215
CenterNet\ HourGlass104\ Keypoints,1024x1024,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ HourGlass104\ Keypoints,1024x1024,TF-TRT INT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet Resnet50 V1 FPN,512x512,Native FP32,0.2759358280005636,0.4374503340435941,0.2911956969809402,0.1166423070144099,0.3251331751096894,0.40571716826343457,0.26978858499218256,0.43338998402109247,0.4545481853749579,0.22945289893030235,0.4926205478003995,0.6483442318094419,39.882618441646,28.732776641845703,124.22227358818054,25.09540880569304,24.925589561462402,23.925304412841797
CenterNet\ Resnet50\ V1\ FPN,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ Resnet50\ V1\ FPN,512x512,TF-TRT INT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet Resnet50 V1 FPN Keypoints,512x512,Native FP32,0.2575985361491164,0.42096209072718693,0.27303121832114,0.10990518675949232,0.2960768896871224,0.3834348391091826,0.25524659250702714,0.4115975098916478,0.43088786190075595,0.2173848775100966,0.46711469490314583,0.6127953505031969,34.608435373267454,32.40036964416504,143.1552381515503,28.92025013162632,28.884530067443848,26.16596221923828
CenterNet\ Resnet50\ V1\ FPN\ Keypoints,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ Resnet50\ V1\ FPN\ Keypoints,512x512,TF-TRT INT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet Resnet101 V1 FPN,512x512,Native FP32,0.3127763790460012,0.47880212340145717,0.33005846971197944,0.12093277712969948,0.3492415650939517,0.46713833616011347,0.29122158759389566,0.45412732248181387,0.47256801855509695,0.229270757896948,0.5060603936041328,0.6922749272039082,32.16550157430745,33.67137908935547,153.94893074035645,31.1007940889609,31.015634536743164,29.720306396484375
CenterNet\ Resnet101\ V1\ FPN,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ Resnet101\ V1\ FPN,512x512,TF-TRT INT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
