Model,Input,TF-TRT,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge,images/sec,99th_percentile(ms),total_time(s),latency_mean(ms),latency_median(ms),latency_min(ms)
SSD MobileNet V2 FPNLite,640x640,Native FP32,0.276892085882641,0.460995256405005,0.291513538718742,0.115051481632259,0.30394256538776,0.410497730944068,0.254526396891203,0.406675760256479,0.438462512830589,0.212140267881766,0.48306667409221,0.627175855427871,18.3722763312583,63.2743835449219,270.362326622009,54.6186518428302,54.2283058166504,46.8080043792725
SSD ResNet50 V1 FPN RetinaNet50,640x640,Native FP32,0.337000850562966,0.518005286881346,0.366318380169263,0.15518340654212,0.370590819800671,0.495062905200175,0.298947867860136,0.47369959830385,0.509394101468821,0.272833209724323,0.559285332555678,0.716281268661518,10.2058066545448,111.606121063232,486.169474124908,98.2160553787694,97.9233980178833,85.3180885314941
SSD ResNet50 V1 FPN RetinaNet50,1024x1024,Native FP32,0.37580589613885,0.569548861990184,0.402932873392105,0.197066471351162,0.411801305960419,0.508743601876459,0.320034567297276,0.51433145557921,0.549824954986707,0.338535610610707,0.583349051602113,0.72704373862458,5.2087839437891,215.414047241211,952.737236976624,192.472169086187,192.873239517212,168.74361038208
SSD ResNet101 V1 FPN RetinaNet101,640x640,Native FP32,0.350311886055936,0.531835503840271,0.381139780539365,0.161234910493556,0.391198981565755,0.508543762635786,0.305951059129739,0.48472196711883,0.519418056974538,0.280103205209557,0.569570843591792,0.726174193875388,8.24273222626507,136.656045913696,601.835050344467,121.582838453428,121.266603469849,100.043773651123
SSD ResNet101 V1 FPN RetinaNet101,1024x1024,Native FP32,0.387617950908291,0.580296051090952,0.420840947401021,0.206013106659535,0.424509773631655,0.530778797182498,0.325500170171301,0.521475255471912,0.556365408708085,0.343728221351711,0.597410216891313,0.739788142339659,4.44778419845377,239.875555038452,1113.9799451828,225.046453572283,224.162936210632,204.759120941162
SSD ResNet152 V1 FPN RetinaNet152,640x640,Native FP32,0.348490482406233,0.528281415933803,0.376641791007579,0.158157454166198,0.385503141739421,0.510173628941111,0.303997310250275,0.480613334757962,0.516191844220406,0.277348935229164,0.572457947249483,0.717608341508115,7.2897106340147,147.99976348877,679.718519449234,137.316872616007,137.159824371338,124.185800552368
SSD ResNet152 V1 FPN RetinaNet152,1024x1024,Native FP32,0.388962663240474,0.581191622162649,0.421020409635824,0.206595116620217,0.425255949534224,0.53176562137626,0.326141239291427,0.521367059839647,0.557978079218581,0.340180460254076,0.598193323042739,0.740415439136384,3.71662208220826,284.934043884277,1332.76843237877,269.246147955307,268.318057060242,245.941638946533
Faster R-CNN ResNet50 V1,640x640,Native FP32,0.279433963049809,0.458115460181226,0.293204271363107,0.093005029031021,0.306605290331147,0.452695336489485,0.265977042905529,0.419598471888944,0.448033280784234,0.199887523252276,0.496455764312023,0.690883457787716,7.5959748258554,142.225027084351,652.723494529724,131.863332228227,132.551670074463,116.829872131348
Faster R-CNN ResNet50 V1,1024x1024,Native FP32,0.306601934185987,0.50120997984443,0.319021458102893,0.14252163702997,0.368439394097671,0.444189774437807,0.278215894938501,0.452205485936615,0.486275281308935,0.284116699123346,0.551998959856706,0.670134001867177,6.12081479718689,183.634281158447,810.948065042496,163.827891927777,163.498759269714,142.18544960022
Faster R-CNN ResNet50 V1,800x1333,Native FP32,0.266622774493736,0.457544049340638,0.271428658212651,0.155463293452714,0.332371276974132,0.350500479588692,0.244490705864275,0.413897946707104,0.436123113062966,0.268178901235501,0.490317153961782,0.583033743989853,5.83741285556935,186.491012573242,849.361651420593,171.588212408201,171.944379806519,150.653839111328
Faster R-CNN ResNet101 V1,640x640,Native FP32,0.302012189809102,0.48114488926397,0.317532978789024,0.103641658190244,0.331979553392809,0.473453442884964,0.28099365820452,0.437228396061722,0.464887479890056,0.217869420272331,0.517792002101441,0.691472899200789,7.00490231401172,153.709650039673,707.459248781204,142.921060359839,142.86470413208,129.56166267395
Faster R-CNN ResNet101 V1,1024x1024,Native FP32,0.365622350295882,0.559391148467355,0.388757574044575,0.175941508436085,0.408215814040385,0.539470696876888,0.319808373229958,0.504470878458531,0.539143877288861,0.331751622721454,0.585291812868214,0.739587845925253,5.14515236674271,212.786436080933,963.637523889542,194.674247250412,194.313645362854,174.786329269409
Faster R-CNN ResNet101 V1,800x1333,Native FP32,0.314535912889763,0.511489388159452,0.327281335521448,0.164309254251198,0.37057930419396,0.414987937584675,0.271809463857727,0.453858183492822,0.478491536010432,0.283933982852034,0.535967614173735,0.632864167777935,4.39288995240269,242.386102676392,1127.8048145771,227.839356480223,228.089570999145,206.91967010498
Faster R-CNN ResNet152 V1,640x640,Native FP32,0.311571818279804,0.4902788640578,0.327374578895813,0.108903588066494,0.343582458840595,0.494861701498146,0.287050327126477,0.447981915540089,0.477720008077767,0.229318926337348,0.532529193844922,0.703100913706082,6.26333818775848,171.266317367554,791.042392492294,159.806543937837,159.57522392273,147.193431854248
Faster R-CNN ResNet152 V1,1024x1024,Native FP32,0.368641603412488,0.557191969490825,0.391933777369877,0.169029698957465,0.413765837738973,0.544913780153858,0.325213563771482,0.511882507443749,0.546524296982359,0.330115582667763,0.594205465402146,0.74575260132064,4.35463966429571,247.400999069214,1137.93200469017,229.885253472762,229.46298122406,211.673974990845
Faster R-CNN ResNet152 V1,800x1333,Native FP32,0.32749445026349,0.52314644750781,0.347728469437028,0.172625740532557,0.378621362058498,0.437255008741464,0.283615347788752,0.464956493321728,0.488769777808177,0.29890097088158,0.542178618770759,0.644765766151017,3.33473910658049,347.795724868774,1491.30142617226,301.273015388335,292.098879814148,266.735553741455
Faster R-CNN Inception ResNet V2,640x640,Native FP32,0.368872226619671,0.561472169816466,0.388321841747717,0.153825574740304,0.413021894996784,0.559320416352129,0.317865452335415,0.49112490859625,0.51526999194718,0.269007542410568,0.570473540961158,0.739666053579636,1.65769667117292,640.765905380249,2987.30225682259,603.495405418704,600.489974021912,582.495927810669
Faster R-CNN Inception ResNet V2,1024x1024,Native FP32,0.360187773550425,0.573252249479728,0.378818351633414,0.164732980121938,0.404652426762364,0.525387145089596,0.309803574921421,0.479864459472709,0.504986501348482,0.288252309038184,0.554283339684533,0.698207477449891,1.27569962769779,873.236179351807,3899.38480091095,787.754505234535,805.919528007507,681.127309799194
Mask R-CNN Inception ResNet V2,1024x1024,Native FP32,0.379352644324431,0.591551564332916,0.405895287492292,0.187050103872621,0.422711750974544,0.538219349405535,0.318648558461117,0.497586307235923,0.522784234306299,0.311600022157307,0.57215953762299,0.710437122246996,1.40969313718881,1100.09956359863,3565.66264677048,720.33588823646,708.343505859375,616.831541061401
