Model,Input,TF-TRT,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge,images/sec,99th_percentile(ms),total_time(s),latency_mean(ms),latency_median(ms),latency_min(ms)
CenterNet\ MobileNetV2\ FPN\ Keypoints,512x512,Native FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EfficientDet D0,512x512,Native FP32,0.3281948450635108,0.516172048364473,0.3442289801847269,0.14353995133363126,0.36891023879730833,0.5021627565103267,0.2868361710076081,0.4410941665196195,0.4686766867381627,0.2315754360005857,0.5319097768557194,0.6798240836674218,6.87709252329196,171.2338924407959,723.6075327396393,146.18333994740186,145.53070068359375,116.06383323669434
EfficientDet D1,640x640,Native FP32,0.3663455607854785,0.5599987497928525,0.38808556711666986,0.16967585878539432,0.40646479259520496,0.5431109737132368,0.30959039569028435,0.4820639484475136,0.5123498317259996,0.27796680818578456,0.5664887121986596,0.7137554781821333,4.766427108248346,239.87460136413574,1042.141503572464,210.53363708534624,210.2292776107788,169.27266120910645
EfficientDet D2,768x768,Native FP32,0.39837213509139796,0.5944730669240588,0.42392189008737907,0.20983370359363496,0.44407339228932086,0.5610460141495962,0.33203112380783595,0.5173908055029077,0.5507165394671294,0.3364298980313528,0.6014714785356632,0.7392109521606165,3.6692538966930126,310.9240531921387,1353.4373195171356,273.4216807105325,273.0008363723755,226.12714767456055
EfficientDet D3,896x896,Native FP32,0.4247874529182766,0.6218990259336304,0.4539752056657653,0.247589834082691,0.4635585887636378,0.5835318695479124,0.3412465759155945,0.5433561392776568,0.5780968728973087,0.3731344592782251,0.6257567621923057,0.7501210236439063,2.814817874091338,397.0487117767334,1762.7323548793793,356.10754644027867,355.44776916503906,291.69487953186035
EfficientDet D4,1024x1024,Native FP32,0.4564506737100115,0.6627379175565785,0.4898363041037661,0.29166885860649006,0.5000573621266199,0.6152924518999092,0.35685957335356977,0.5692696199223999,0.6053605928922394,0.43061251348581936,0.6512152177255618,0.7689896160937185,1.974803407985184,566.6275024414062,2513.316328525543,507.7406724294027,507.63964653015137,413.9676094055176
EfficientDet D5,1280x1280,Native FP32,0.46140295396334835,0.6663567350990554,0.497402759706437,0.2962752061542302,0.5064024359316704,0.6081405680616185,0.35911448324089307,0.5819953340577577,0.6190187007285135,0.4429989783635072,0.6638609347340466,0.7716809806208889,1.2131829805163414,899.0120887756348,4086.0439393520355,825.4634220913202,824.6952295303345,716.7129516601562
EfficientDet D6,1280x1280,Native FP32,0.4659741110633339,0.6704157277836339,0.5018805113089265,0.3129463505223169,0.5148963092902696,0.603305365076995,0.36239162272440467,0.5882033092326675,0.6254919982377711,0.4584932521622489,0.670483922634212,0.7761312867194644,1.0192410592594268,1067.9328441619873,4863.006685495377,982.425593029369,981.3331365585327,853.4433841705322
EfficientDet D7,1536x1536,Native FP32,0.47746097945147137,0.681363138304042,0.5119256833712718,0.317405496775769,0.5206584212615526,0.6285719387151454,0.36720184606674267,0.5942872333952856,0.6317011732115353,0.464921072776717,0.6760158173279441,0.78707691444967,0.8437975118441482,1303.4541606903076,5875.764018058777,1187.023033951268,1186.0069036483765,1009.1192722320557
SSD MobileNet v2,320x320,Native FP32,0.2001974055691228,0.3455209488552215,0.1991333408896673,0.02295287116854156,0.17242377837015568,0.41339291085322727,0.21248543771454748,0.32513424518903244,0.34441057899369976,0.06860346625355868,0.3513316315394369,0.6543036418129762,21.135929634059572,54.143428802490234,234.74992275238037,47.4242268186627,47.17063903808594,39.79945182800293
SSD MobileNet V1 FPN,640x640,Native FP32,0.2867463458605301,0.46108608820069646,0.30521567466985383,0.13139112373635498,0.3125449209280092,0.4150535840574671,0.2682502604951033,0.4337617951563813,0.4685115010717425,0.23851533413082673,0.5102599962400691,0.6622407734267619,6.792365300258333,161.468505859375,730.1232552528381,147.4996475258259,147.63057231903076,123.17085266113281
