Model,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge
spaghettinet_edgetpu_s,0.2419590335812594,0.4096166894875596,0.24260483461603916,0.041527744236688126,0.2456940704755272,0.4605417693858174,0.22385551002275578,0.3309048243325514,0.3464642995207691,0.08156280698761507,0.3719330713538022,0.6085420187856743
spaghettinet_edgetpu_m,0.25360141496496846,0.4272514403056802,0.2545071876861821,0.04560621084645319,0.26559913098511345,0.47524617477156594,0.23127676098503244,0.34237219969093957,0.3577618528819552,0.0911374613173501,0.3887766713280685,0.6266217096589466
spaghettinet_edgetpu_l,0.2603370880746475,0.4330960752202529,0.2634410463269522,0.04477982918569298,0.2767357779861751,0.4866877538894195,0.23757557204340032,0.3512153911348801,0.36584202573152885,0.09009085124839838,0.3988106890982072,0.6324953401657167
spaghettinet_edgetpu_s_edgetpu,0.2426681560904131,0.4106560978003843,0.24524831920600368,0.04131975995417504,0.24529611791355382,0.4616497443521457,0.22379941765788544,0.3306568786843128,0.3464948724353895,0.08182722125719526,0.37150689641476775,0.608575876384932
spaghettinet_edgetpu_m_edgetpu,0.25404121358825144,0.42700238924337286,0.25847663418136957,0.04633195417530966,0.26528961430095593,0.4771784327900566,0.23080604217143771,0.34173064134621406,0.3574178792759739,0.09178177342118289,0.38765299334233744,0.6285355538474144
spaghettinet_edgetpu_l_edgetpu,0.2601900545808127,0.4329160709109754,0.2636898283171049,0.04448010357591868,0.2761905968939428,0.4852572777498483,0.23676392322824188,0.35093724130573895,0.3658669405050118,0.08920051600266281,0.3985941797607652,0.6304868226325411
