Model,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge
ssd_mobilenet_v2_300x300_quant_coco,0.22439612555267807,0.3522082812817663,0.24087360837810276,0.015522366121151205,0.15926469923678246,0.5217820188480716,0.2070677767013091,0.26931829197815665,0.26931829197815665,0.023363173830031253,0.20315306189031068,0.6147524269178924
ssdlite_mobiledet_edgetpu_320x320_quant_coco,0.2681550251074711,0.41643805115605126,0.29066823876506015,0.02757323940289741,0.2326813504163889,0.5839910489260431,0.2399033862068061,0.32284007644466345,0.32284007644466345,0.042234900066027266,0.29361192436367545,0.6849176792539586
ssdlite_mobilenet_edgetpu_coco_quant,0.26960961257621674,0.41980065639743747,0.2891434526943428,0.034120884463646486,0.23690615928348602,0.5791784329767551,0.2431064632291701,0.32559462121242616,0.32559462121242616,0.05162220065916718,0.2965051487287191,0.6835216250803472
