Model,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge
ssd_mobilenet_v3_large_320x320_coco,0.2544985679815699,0.42729984203116167,0.2580267300538412,0.03435905206233754,0.23238816656544065,0.5194028369951518,0.2287003628216666,0.33906002752463293,0.36251817295140776,0.07505125396384832,0.37944726085629715,0.6699245552280867
ssd_mobilenet_v3_small_320x320_coco,0.15991151510958998,0.2856219327914155,0.15704237650932004,0.011369791078168639,0.11801102028128746,0.34419552132056686,0.16360167968140032,0.24520458476157,0.2650908131422714,0.03120599650164753,0.2406061260713179,0.5344084330537666
ssdlite_mobiledet_cpu_320x320_coco,0.25658549860644764,0.4033043722685802,0.27359925686632913,0.024570837608109197,0.2207131791272324,0.552727913264224,0.2288851535421724,0.3145988859938226,0.3145988859938226,0.04081166904855405,0.28415859067405663,0.661882124290872
ssd_mobilenet_v2_mnasfpn_shared_box_predictor_320x320_coco,0.3264331023279418,0.48131801108102407,0.3681873238466807,0.07307068703359154,0.37109815579344213,0.5603454637394114,0.26540327923317525,0.37659303147865353,0.37659303147865353,0.08077016506381554,0.43301650456604235,0.6495788137076502
ssd_mobilenet_v1_fpn_shared_box_predictor_640x640_coco,0.3220286934315658,0.4721465087348143,0.36312533230171357,0.11895447821755942,0.3476533554894991,0.5101845357149762,0.26675074985749236,0.37209392840487887,0.37209392840487887,0.13221024252027946,0.40057437369604015,0.5916801444869858
ssd_mobilenet_v2_300x300_coco,0.23927213741744938,0.3613440555948385,0.2651129650379196,0.01798934149104547,0.1661670223387543,0.5585515546483263,0.2130388644293881,0.26636601637330193,0.26636601637330193,0.022693421726183813,0.18853476767907054,0.6202985322494863
ssd_resnet50_v1_fpn_shared_box_predictor_640x640_coco,0.00033415841584158413,0.00037128712871287124,0.0003712871287128712,0.0,0.0,0.0008787128712871287,0.00022284644194756558,0.00022284644194756558,0.00022284644194756558,0.0,0.0,0.0007821118991331757
ssdlite_mobilenet_v2_coco,0.23361872885832258,0.3450419209894517,0.2598525877480708,0.015287563843147705,0.15549549233994805,0.5596746189171147,0.20950038624441256,0.2597549661319026,0.2597549661319026,0.019294366560998092,0.17676568579376004,0.6220474965315417
