Model,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge
efficientdet-lite0_int8_edgetpu,0.2553538479765674,0.4181060937088531,0.264274311291178,0.0700755151811351,0.2862034080832666,0.4287752651890745,0.22467310708148489,0.3235648080120503,0.3323286612615363,0.08923271321893857,0.37594029226269243,0.5496521198668689
efficientdet-lite1_int8_edgetpu,0.2970326216418971,0.4679223304465522,0.3123704065184616,0.10777990410479876,0.3327199599304463,0.4709592151731214,0.25086449593210586,0.3683401433811706,0.378518941455309,0.13679886342378522,0.4250856116589248,0.5833750446070788
efficientdet-lite2_int8_edgetpu,0.2850053816191018,0.4583311546032391,0.2995057996785808,0.13142807042913254,0.3332564702332935,0.4088699099746208,0.24740300596342713,0.3658819682544758,0.37425521005887413,0.1710735525123149,0.4285629205395645,0.5323806300974792
