Model,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge
spaghettinet_edgetpu_s,0.24297287495579692,0.41231440479819986,0.2432129795157399,0.04187588835550375,0.24772839643523148,0.4612180760918401,0.22468098128761485,0.33557887150430105,0.3572249848484392,0.08723275200633586,0.3906983795559215,0.6203204451167132
spaghettinet_edgetpu_m,0.2548990837175018,0.4308749662257592,0.25528388941801616,0.045924531509065114,0.2678573356376031,0.4760337420494178,0.232362529352335,0.34831896779764937,0.3700094865627663,0.09715705069260078,0.40887793935694305,0.6362511633775302
spaghettinet_edgetpu_l,0.26153003622010496,0.43627484718949755,0.2640055754079769,0.04497295479128164,0.2789898783551623,0.48756724510151705,0.23875761709888477,0.35650073756087786,0.37747807373505715,0.0944842637554444,0.41800809194120553,0.6439655947862059
spaghettinet_edgetpu_s_edgetpu,0.24373955853134402,0.4137475198703436,0.24576508753373288,0.04170514261217408,0.24727892538592677,0.4622150740053281,0.22479228650757663,0.3358586215348923,0.35737974460406874,0.08675495576797047,0.389925311683797,0.6184845184785811
spaghettinet_edgetpu_m_edgetpu,0.2552347511117553,0.4305044470483146,0.2589446792684504,0.04669729348096046,0.2675029856051167,0.47779371599404613,0.2320342579289364,0.34718165432572023,0.3693393950917483,0.09769188818389596,0.4066483243207803,0.6371640801693746
spaghettinet_edgetpu_l_edgetpu,0.2613360564219549,0.4358803712277019,0.26431087692309074,0.04476739662734459,0.27840777476232553,0.486088106650727,0.23787411174228526,0.3560621424729359,0.37696925513963164,0.09427196989688318,0.4169892052665181,0.640410452299307
