Model,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge
ssd_mobilenet_v3_large_320x320_coco,0.254498564488375,0.42729983372311153,0.2580267453833295,0.03435905190644069,0.23238819026639934,0.5194028429736214,0.2287003628216666,0.33906002752463293,0.36251817295140776,0.07505125396384832,0.37944726085629715,0.6699245552280867
ssd_mobilenet_v3_small_320x320_coco,0.15991148573864677,0.28562196697271225,0.15704235509254905,0.011369787618681343,0.11801099724779114,0.34419553667785985,0.16360167968140032,0.24520458476157,0.2650908131422714,0.03120599650164753,0.2406061260713179,0.5344084330537666
ssdlite_mobiledet_cpu_320x320_coco,0.256585483598784,0.4033043722685802,0.27359924857712886,0.024570837608109197,0.22071922870690985,0.5527279259396302,0.2288851535421724,0.3145988859938226,0.3145988859938226,0.04081166904855405,0.28415859067405663,0.661882124290872
ssd_mobilenet_v2_mnasfpn_shared_box_predictor_320x320_coco,0.3264331023279418,0.48131801108102407,0.3681873238466807,0.07307068703359154,0.37109814603528174,0.5603454637394114,0.26540327923317525,0.37659303147865353,0.37659303147865353,0.08077016506381554,0.43301650456604235,0.6495788137076502
ssd_mobilenet_v2_300x300_coco,0.2392720055329626,0.36134401111599707,0.2651129650379196,0.01798934149104547,0.1661670223387543,0.5585509332188011,0.2130388644293881,0.26636601637330193,0.26636601637330193,0.022693421726183813,0.18853476767907054,0.6202985322494863
ssdlite_mobilenet_v2_coco,0.23361853668653462,0.3450418783715536,0.2598525877480708,0.015287563843147705,0.15549549233994805,0.5596740933267226,0.20950038624441256,0.2597549661319026,0.2597549661319026,0.019294366560998092,0.17676568579376004,0.6220474965315417
ssd_mobilenet_v2_300x300_quant_coco,0.2241237788187172,0.35219073961784836,0.2404471088773402,0.015551307740612962,0.15922064909853328,0.5207576903967572,0.2068125126707183,0.26913361032586086,0.26913361032586086,0.022999387366479947,0.203941476321698,0.6135632245411228
ssdlite_mobiledet_edgetpu_320x320_quant_coco,0.2683861090807306,0.418322411238807,0.29092383779231074,0.028413229571536986,0.23323249878930727,0.5848590638543077,0.23954868453513656,0.32339668283775175,0.32339668283775175,0.04347953575619114,0.2941928397907173,0.6847761685037481
ssdlite_mobilenet_edgetpu_coco_quant,0.26899579914896254,0.41907610298123626,0.28810931627335196,0.034426825742174365,0.2360167371082748,0.5796601591648043,0.24267750175388067,0.3242723845818008,0.3242723845818008,0.05044635955789791,0.29517683832739705,0.6835595265895248
