Model,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge
spaghettinet_edgetpu_s,0.2387585447018291,0.40089105400328107,0.24107903795886426,0.04047491959560996,0.24038327411188892,0.4582163895641853,0.22121021571504207,0.320437063494069,0.3283628039506928,0.07156070384656171,0.3428296102047978,0.5944262069348484
spaghettinet_edgetpu_m,0.25060847535026554,0.4188548323887092,0.25280406963764884,0.044082222680427836,0.26014287359386024,0.4737137227312028,0.2288918367951384,0.3326281278324015,0.34122090985558856,0.08014454115039203,0.3616135138058701,0.614488021164785
spaghettinet_edgetpu_l,0.257050685626068,0.4243540973631612,0.26144005678445603,0.04379480360178494,0.27085128983129453,0.4841369929540789,0.23456438839185317,0.3407014702367869,0.3483313319797,0.08040584755502994,0.3718690312707051,0.6172505545414199
spaghettinet_edgetpu_s_edgetpu,0.2395634643835592,0.4024770159343048,0.24359065368602445,0.04042868061863481,0.23984755108222502,0.45959168428173214,0.2215212649225118,0.32060888926561115,0.3287153547901909,0.07181325007326832,0.3422349890927148,0.5945031295768701
spaghettinet_edgetpu_m_edgetpu,0.25065695575466135,0.41786324492971383,0.2567739776645055,0.04401125584575216,0.2592562220858565,0.4753631055345834,0.22815067036121672,0.33162020704020123,0.3396593036738614,0.07972116364577757,0.3588039186742402,0.6137413516633771
spaghettinet_edgetpu_l_edgetpu,0.25699928388601506,0.42435163783041335,0.2618197174158584,0.043614074637403105,0.2703925840615566,0.4827866046272868,0.23457216730871033,0.34064858631881234,0.34845996892105247,0.07970200407785522,0.37172540824759265,0.6150824749365583
