Model,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge
spaghettinet_edgetpu_s,0.22810790448084728,0.3733830789513925,0.23476245859641479,0.036294254499861275,0.21929356933127547,0.45354894512528016,0.21386816612119774,0.29299081178057684,0.29299081178057684,0.05417578805877504,0.2840591231393942,0.5695882872874044
spaghettinet_edgetpu_m,0.23762655691703846,0.3867048990685423,0.24495675858673688,0.03744833770345562,0.2376713386432072,0.46724591754540185,0.22053016862842864,0.3035084238204049,0.3035084238204049,0.057110353266741534,0.30127232363673934,0.5883489920147543
spaghettinet_edgetpu_l,0.24472492875990787,0.393057714525765,0.2535130814823703,0.03767465905953769,0.2492073396510924,0.47717249259406463,0.22607112727188672,0.31184888137087396,0.31184888137087396,0.05927927946237918,0.3143899303736881,0.5931128545106907
spaghettinet_edgetpu_s_edgetpu,0.22896467248629893,0.3750556717739456,0.23739904056901168,0.0360673478127277,0.21939252079666602,0.45502665605236914,0.21424927082235115,0.2934326777692952,0.2934326777692952,0.0533336174046306,0.2839977277432252,0.5698778476724187
spaghettinet_edgetpu_m_edgetpu,0.23818378834405665,0.38677750936959476,0.24941731291386815,0.03794908499463079,0.2374674729342632,0.46885067249928397,0.22047708660299464,0.30357299608292837,0.30357299608292837,0.05760797271072914,0.30218552694010276,0.5888441702831768
spaghettinet_edgetpu_l_edgetpu,0.24417171518852143,0.3927182094287788,0.25360098541763965,0.03782990473313984,0.24834443020028543,0.47567971041125867,0.22616234138573182,0.31118900568065405,0.31118900568065405,0.05812263198541677,0.31308317019324466,0.5905746719911353
